,Subjects,Accuracy,Sessions,MV Accuracy
0,1,0.56536865234375,session1,0.68072509765625
1,1,0.66876220703125,session2,0.7275390625
2,1,0.73358154296875,session3,0.81036376953125
3,1,0.5992431640625,session4,0.68634033203125
4,1,0.64154052734375,session5,0.67413330078125
5,2,0.60296630859375,session1,0.69061279296875
6,2,0.76019287109375,session2,0.8966064453125
7,2,0.6468505859375,session3,0.7352294921875
8,2,0.52203369140625,session4,0.64129638671875
9,2,0.6241455078125,session5,0.7471923828125
10,3,0.669921875,session1,0.75897216796875
11,3,0.69140625,session2,0.76971435546875
12,3,0.681396484375,session3,0.7586669921875
13,3,0.71209716796875,session4,0.871826171875
14,3,0.74945068359375,session5,0.86212158203125
15,4,0.68646240234375,session1,0.81341552734375
16,4,0.67327880859375,session2,0.7684326171875
17,4,0.57177734375,session3,0.67828369140625
18,4,0.58148193359375,session4,0.69134521484375
19,4,0.6505126953125,session5,0.7374267578125
20,5,0.66717529296875,session1,0.7965087890625
21,5,0.5478515625,session2,0.643310546875
22,5,0.68408203125,session3,0.760009765625
23,5,0.73150634765625,session4,0.7989501953125
24,5,0.66778564453125,session5,0.69793701171875
