,Subjects,Sessions,Test Repetitions,Accuracy
0,0.0,0.0,0.0,1.0
1,0.0,0.0,1.0,1.0
2,0.0,0.0,2.0,1.0
3,0.0,0.0,3.0,1.0
4,0.0,0.0,4.0,1.0
5,0.0,0.0,5.0,1.0
6,0.0,0.0,6.0,1.0
7,0.0,0.0,7.0,1.0
8,0.0,0.0,8.0,1.0
9,0.0,0.0,9.0,1.0
10,0.0,1.0,0.0,1.0
11,0.0,1.0,1.0,1.0
12,0.0,1.0,2.0,1.0
13,0.0,1.0,3.0,1.0
14,0.0,1.0,4.0,0.9615384615384616
15,0.0,1.0,5.0,0.9881873497596154
16,0.0,1.0,6.0,1.0
17,0.0,1.0,7.0,1.0
18,0.0,1.0,8.0,1.0
19,0.0,1.0,9.0,1.0
20,0.0,2.0,0.0,0.9863656850961539
21,0.0,2.0,1.0,0.9872483473557693
22,0.0,2.0,2.0,0.9974459134615384
23,0.0,2.0,3.0,0.9973332331730769
24,0.0,2.0,4.0,0.9814453125
25,0.0,2.0,5.0,0.9815955528846154
