2024-08-27 19:05:11,793 INFO    MainThread:4156160 [wandb_setup.py:_flush():76] Current SDK version is 0.17.7
2024-08-27 19:05:11,794 INFO    MainThread:4156160 [wandb_setup.py:_flush():76] Configure stats pid to 4156160
2024-08-27 19:05:11,794 INFO    MainThread:4156160 [wandb_setup.py:_flush():76] Loading settings from /home/joao/.config/wandb/settings
2024-08-27 19:05:11,794 INFO    MainThread:4156160 [wandb_setup.py:_flush():76] Loading settings from /home/joao/Desktop/shift-layer/wandb/settings
2024-08-27 19:05:11,794 INFO    MainThread:4156160 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-08-27 19:05:11,794 INFO    MainThread:4156160 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-08-27 19:05:11,794 INFO    MainThread:4156160 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'intersession.py', 'program_abspath': '/home/joao/Desktop/shift-layer/intersession.py', 'program': '/home/joao/Desktop/shift-layer/intersession.py'}
2024-08-27 19:05:11,794 INFO    MainThread:4156160 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-08-27 19:05:11,794 INFO    MainThread:4156160 [wandb_init.py:_log_setup():524] Logging user logs to /home/joao/Desktop/shift-layer/wandb/run-20240827_190511-6ajaoihh/logs/debug.log
2024-08-27 19:05:11,794 INFO    MainThread:4156160 [wandb_init.py:_log_setup():525] Logging internal logs to /home/joao/Desktop/shift-layer/wandb/run-20240827_190511-6ajaoihh/logs/debug-internal.log
2024-08-27 19:05:11,794 INFO    MainThread:4156160 [wandb_init.py:init():607] calling init triggers
2024-08-27 19:05:11,794 INFO    MainThread:4156160 [wandb_init.py:init():614] wandb.init called with sweep_config: {}
config: {'name': 'exp.csv', 'K': 5, 'num_epochs': 15, 'norm': 0, 'lr': 5e-05, 'p_input': 0.5, 'scheduler': '{"def": "torch.optim.lr_scheduler.MultiStepLR", "params": {"milestones": [], "gamma": 0.1}}', 'batch_size': 1024, 'momentum': 0, 'weight_decay': 0, 'network': 'LogisticRegressor', 'dataset': 'csl', 'emg_tensorizer': 'CSLDataSegmentRMS', 'Trms': 75, 'adaptation': 'shift-adaptation', 'real_baseline': False, 'learnable_baseline': False}
2024-08-27 19:05:11,794 INFO    MainThread:4156160 [wandb_init.py:init():657] starting backend
2024-08-27 19:05:11,794 INFO    MainThread:4156160 [wandb_init.py:init():661] setting up manager
2024-08-27 19:05:11,796 INFO    MainThread:4156160 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-08-27 19:05:11,798 INFO    MainThread:4156160 [wandb_init.py:init():669] backend started and connected
2024-08-27 19:05:11,802 INFO    MainThread:4156160 [wandb_init.py:init():764] updated telemetry
2024-08-27 19:05:11,807 INFO    MainThread:4156160 [wandb_init.py:init():797] communicating run to backend with 90.0 second timeout
2024-08-27 19:05:12,288 INFO    MainThread:4156160 [wandb_run.py:_on_init():2479] communicating current version
2024-08-27 19:05:12,348 INFO    MainThread:4156160 [wandb_run.py:_on_init():2488] got version response 
2024-08-27 19:05:12,348 INFO    MainThread:4156160 [wandb_init.py:init():848] starting run threads in backend
2024-08-27 19:05:17,229 INFO    MainThread:4156160 [wandb_run.py:_console_start():2457] atexit reg
2024-08-27 19:05:17,230 INFO    MainThread:4156160 [wandb_run.py:_redirect():2303] redirect: wrap_raw
2024-08-27 19:05:17,230 INFO    MainThread:4156160 [wandb_run.py:_redirect():2368] Wrapping output streams.
2024-08-27 19:05:17,230 INFO    MainThread:4156160 [wandb_run.py:_redirect():2393] Redirects installed.
2024-08-27 19:05:17,232 INFO    MainThread:4156160 [wandb_init.py:init():891] run started, returning control to user process
